CustomerID,Gender,Age,Country,Purchase_Amount,Product_Category,Churn
C001,Male,64.0,USA,25483.006350587417,Electronics,0
C002,Female,24.0,USA,36991.09805062718,Electronics,0
C003,Female,41.0,USA,3414.64562707402,Fashion,0
C004,Male,59.0,USA,13298.249549605112,Electronics,0
C005,Male,67.0,USA,23140.009093577693,Groceries,0
C006,Female,,UK,26709.57015184467,Groceries,0
C007,Male,57.0,USA,9432.635103704333,Electronics,0
C008,Male,29.0,India,16868.254756338105,Electronics,0
C009,Female,46.0,India,31734.142980140157,Electronics,0
C010,Male,25.0,UK,37923.325296532705,Groceries,1
C011,Male,33.0,,18940.363699911224,Fashion,0
C012,Female,48.0,USA,12995.856372661285,Fashion,0
C013,Male,49.0,India,32973.650794126195,Groceries,1
C014,Female,65.0,India,23641.10748868732,Groceries,0
C015,Male,29.0,USA,25958.11528695993,Electronics,0
C016,Male,59.0,UK,22152.247866384936,Fashion,0
C017,Female,27.0,UK,11014.91828915832,Groceries,0
C018,Female,31.0,UK,23388.0221008557,Electronics,0
C019,Female,21.0,UK,27342.182522636667,Fashion,0
C020,Male,50.0,India,46339.47342788373,Electronics,0
C021,Male,20.0,India,41488.11277361615,Fashion,0
C022,Male,46.0,UK,47921.7705025265,Fashion,0
C023,Female,62.0,UK,4405.4334884520895,Electronics,1
C024,Female,32.0,USA,38204.661157844625,Electronics,0
C025,Male,48.0,UK,1667.0081376986896,Groceries,0
C026,Male,27.0,India,39782.56166667517,Groceries,0
C027,Female,65.0,UK,48731.38530140789,Groceries,0
C028,Female,45.0,India,27163.643209867976,Electronics,0
C029,Female,21.0,UK,36333.091828731536,Electronics,0
C030,Male,23.0,India,33637.40858839576,Electronics,1
C031,Female,49.0,UK,963.6536310653798,Electronics,0
C032,Female,48.0,India,36229.661415403694,Electronics,0
C033,Female,27.0,UK,25437.006588453878,Fashion,0
C034,Male,48.0,India,38972.506137161065,Electronics,1
C035,Male,52.0,USA,41931.692782121725,Groceries,1
C036,Male,27.0,UK,28972.876001181132,Fashion,0
C037,Male,22.0,USA,12935.970805398732,Electronics,1
C038,Female,52.0,USA,41789.0944547843,Electronics,0
C039,Female,24.0,UK,41067.21562304564,Groceries,0
C040,Female,41.0,UK,26533.85132977906,Fashion,0
C041,Female,21.0,India,42486.569106794144,Fashion,1
C042,Male,44.0,USA,4862.236566917378,Fashion,0
C043,Female,42.0,India,45622.86701027489,Fashion,0
C044,Female,31.0,USA,7119.927450715896,Electronics,0
C045,Female,29.0,USA,16070.606465932187,Fashion,0
C046,Female,64.0,India,31334.7144532762,Fashion,0
C047,Female,33.0,India,25429.656079908527,Fashion,0
C048,Male,21.0,India,21792.27242400595,Fashion,0
C049,Female,36.0,USA,12223.999561699527,Groceries,1
C050,Female,43.0,India,33930.067256019836,Fashion,0
C051,Male,57.0,UK,30923.67541722313,Electronics,0
C052,Female,41.0,UK,1312.8989249714555,Fashion,0
C053,Female,61.0,UK,28104.786244635892,Electronics,0
C054,Female,63.0,USA,44688.89911745582,Groceries,0
C055,Female,43.0,India,1825.2986564985815,Groceries,0
C056,Female,60.0,USA,46088.631852525876,Electronics,0
C057,Male,19.0,USA,23675.555000737662,Fashion,0
C058,Female,20.0,UK,24380.21300031426,Fashion,0
C059,Male,63.0,India,26606.853115715297,Electronics,0
C060,Female,32.0,India,49042.94826289225,Groceries,0
C061,Male,69.0,USA,43159.24075675351,Electronics,0
C062,Male,59.0,UK,18385.340974178373,Groceries,0
C063,Male,69.0,India,37368.206136861714,Electronics,1
C064,Female,33.0,UK,2176.07408284482,Groceries,0
C065,Female,18.0,India,29302.76664499367,Groceries,0
C066,Male,47.0,India,15605.439886111608,Electronics,0
C067,Male,23.0,UK,37597.79482186792,Fashion,0
C068,Female,67.0,India,25050.268299080155,Electronics,0
C069,Male,46.0,India,8781.607415947918,Electronics,0
C070,Female,52.0,UK,29528.128024109454,Groceries,0
C071,Female,63.0,India,13980.9086651433,Electronics,0
C072,Male,62.0,India,7117.785976153783,Groceries,0
C073,Male,40.0,UK,38974.189460238995,Fashion,0
C074,Male,69.0,UK,11896.807543151326,Groceries,0
C075,Female,58.0,UK,12893.127052585052,Fashion,0
C076,Male,65.0,UK,9871.00402338045,Electronics,0
C077,Female,49.0,India,23950.175547538038,Electronics,1
C078,Female,34.0,USA,6267.043211038765,Electronics,0
C079,Female,49.0,UK,30766.136415101213,Groceries,0
C080,Female,50.0,India,39836.71322917848,Fashion,0
C081,Male,22.0,UK,21530.046512050812,Fashion,1
C082,Female,34.0,USA,18144.35828378354,Fashion,0
C083,Male,33.0,USA,7631.178213527191,Groceries,0
C084,Male,33.0,UK,42094.02104073403,Groceries,0
C085,Female,56.0,USA,32962.63744896551,Fashion,0
C086,Female,20.0,UK,16462.894093789888,Fashion,0
C087,Male,30.0,India,31341.911773825123,Fashion,1
C088,Male,20.0,USA,26345.29195186318,Fashion,0
C089,Female,23.0,UK,40976.956760221685,Electronics,0
C090,Male,50.0,UK,46551.04228711568,Groceries,0
C091,Female,29.0,India,1426.1925541987198,Fashion,0
C092,Female,40.0,India,15455.44369041959,Groceries,0
C093,Female,31.0,USA,41596.24649532531,Electronics,0
C094,Female,58.0,USA,44506.52642461486,Groceries,0
C095,Female,65.0,India,15823.505113117104,Electronics,0
C096,Male,21.0,UK,47564.73599490914,Groceries,0
C097,Female,35.0,UK,3606.4871194405077,Fashion,0
C098,Female,26.0,India,7244.107456443322,Groceries,0
C099,Female,40.0,India,2126.7451331815846,Electronics,0
C100,Female,41.0,India,3659.0038181951304,Electronics,0
